# Generated at 2022-09-17 09:22:47. For help see https://bit.ly/3Bzs6Z4
# URL: https://metaspace2020.eu/datasets?prj=3306688e-35e7-11ed-89bf-bf0bde74f6a6
"datasetId","datasetName","group","submitter","PI","organism","organismPart","condition","growthConditions","ionisationSource","maldiMatrix","analyzer","resPower400","polarity","uploadDateTime","FDR@10%","database","opticalImage"
"2022-09-16_21h29m12s","22-01-25_HTprometex_D1-2_A28_ss25_RF50_CT250_V3_20x20_DHBpos","♡EMBL♡","Jeany Delafiori","Theodore Alexandrov","Homo sapiens (human)","Prostate cancer cells","2-DG","in vivo","MALDI","DHB","Orbitrap","98995","positive","2022-09-16T21:29:12.904548","123","CoreMetabolome - v3","No optical image"
"2022-09-16_21h43m02s","22-01-25_HTprometex_E2-7_A32_ss25_RF70_CT350_V3.25_20x20_DHBpos","♡EMBL♡","Jeany Delafiori","Theodore Alexandrov","Homo sapiens (human)","Prostate cancer cells","Control","in vivo","MALDI","DHB","Orbitrap","98995","positive","2022-09-16T21:43:02.356436","250","CoreMetabolome - v3","No optical image"
"2022-09-16_21h43m34s","22-01-25_HTprometex_E2-4_A32_ss25_RF100_CT250_V3.25_20x20_DHBpos","♡EMBL♡","Jeany Delafiori","Theodore Alexandrov","Homo sapiens (human)","Prostate cancer cells","Control","in vivo","MALDI","DHB","Orbitrap","98995","positive","2022-09-16T21:43:34.511524","234","CoreMetabolome - v3","No optical image"
"2022-09-16_21h50m57s","22-01-24_HTprometex_B2-1_A29_ss25_RF100_CT250_V3.25_25x25_DANneg","♡EMBL♡","Jeany Delafiori","Theodore Alexandrov","Homo sapiens (human)","Prostate cancer cells","Control","in vivo","MALDI","DAN","Orbitrap","98995","negative","2022-09-16T19:50:58.108000","43","HMDB - v4","No optical image"
"2022-09-16_21h52m20s","22-01-24_HTprometex_B2-2_A30_ss25_RF100_CT250_V3.25_25x25_DANneg","♡EMBL♡","Jeany Delafiori","Theodore Alexandrov","Homo sapiens (human)","Prostate cancer cells","Control","in vivo","MALDI","DAN","Orbitrap","98995","negative","2022-09-16T21:52:20.184673","26","HMDB - v4","No optical image"
"2022-09-16_21h40m47s","22-01-25_HTprometex_E2-2_A30_ss25_RF100_CT250_V3_20x20_DHBpos","♡EMBL♡","Jeany Delafiori","Theodore Alexandrov","Homo sapiens (human)","Prostate cancer cells","Control","in vivo","MALDI","DHB","Orbitrap","98995","positive","2022-09-16T21:40:47.841281","111","CoreMetabolome - v3","No optical image"
"2022-09-16_21h36m41s","22-01-25_HTprometex_E2-1_A30_ss25_RF70_CT250_V3_20x20_DHBpos","♡EMBL♡","Jeany Delafiori","Theodore Alexandrov","Homo sapiens (human)","Prostate cancer cells","Control","in vivo","MALDI","DHB","Orbitrap","98995","positive","2022-09-16T21:36:41.153593","155","CoreMetabolome - v3","No optical image"
"2022-09-16_21h42m18s","22-01-25_HTprometex_E2-5_A32_ss25_RF70_CT250_V3.25_20x20_DHBpos","♡EMBL♡","Jeany Delafiori","Theodore Alexandrov","Homo sapiens (human)","Prostate cancer cells","Control","in vivo","MALDI","DHB","Orbitrap","98995","positive","2022-09-16T21:42:18.432739","176","CoreMetabolome - v3","No optical image"
"2022-09-16_21h36m11s","22-01-25_HTprometex_E1-9_A32_ss25_RF100_CT250_V3_20x20_DHBpos","♡EMBL♡","Jeany Delafiori","Theodore Alexandrov","Homo sapiens (human)","Prostate cancer cells","Control","in vivo","MALDI","DHB","Orbitrap","98995","positive","2022-09-16T21:36:11.140254","203","CoreMetabolome - v3","No optical image"
"2022-09-16_21h35m13s","22-01-25_HTprometex_E1-8_A32_ss25_RF70_CT250_V3_20x20_DHBpos","♡EMBL♡","Jeany Delafiori","Theodore Alexandrov","Homo sapiens (human)","Prostate cancer cells","Control","in vivo","MALDI","DHB","Orbitrap","98995","positive","2022-09-16T21:35:13.133331","179","CoreMetabolome - v3","No optical image"
"2022-09-16_21h34m35s","22-01-25_HTprometex_E1-7_A32_ss25_RF50_CT250_V3_20x20_DHBpos","♡EMBL♡","Jeany Delafiori","Theodore Alexandrov","Homo sapiens (human)","Prostate cancer cells","Control","in vivo","MALDI","DHB","Orbitrap","98995","positive","2022-09-16T21:34:35.253452","152","CoreMetabolome - v3","No optical image"
"2022-09-16_21h33m35s","22-01-25_HTprometex_E1-5_A28_ss25_RF50_CT250_V3_20x20_DHBpos","♡EMBL♡","Jeany Delafiori","Theodore Alexandrov","Homo sapiens (human)","Prostate cancer cells","Control","in vivo","MALDI","DHB","Orbitrap","98995","positive","2022-09-16T21:33:35.836922","17","CoreMetabolome - v3","No optical image"
"2022-09-16_21h34m06s","22-01-25_HTprometex_E1-6_A30_ss25_RF50_CT250_V3_20x20_DHBpos","♡EMBL♡","Jeany Delafiori","Theodore Alexandrov","Homo sapiens (human)","Prostate cancer cells","Control","in vivo","MALDI","DHB","Orbitrap","98995","positive","2022-09-16T21:34:06.497740","144","CoreMetabolome - v3","No optical image"
"2022-09-16_21h33m04s","22-01-25_HTprometex_E1-4_A26_ss25_RF50_CT250_V3_20x20_DHBpos","♡EMBL♡","Jeany Delafiori","Theodore Alexandrov","Homo sapiens (human)","Prostate cancer cells","Control","in vivo","MALDI","DHB","Orbitrap","98995","positive","2022-09-16T21:33:04.408889","7","HMDB - v4","No optical image"
"2022-09-16_21h32m21s","22-01-25_HTprometex_D2-4_A32_ss25_RF70_CT350_V3.25_20x20_DHBpos","♡EMBL♡","Jeany Delafiori","Theodore Alexandrov","Homo sapiens (human)","Prostate cancer cells","2-DG","in vivo","MALDI","DHB","Orbitrap","98995","positive","2022-09-16T21:32:22.032258","317","CoreMetabolome - v3","No optical image"
"2022-09-16_21h31m49s","22-01-25_HTprometex_D2-1_A32_ss25_RF70_CT250_V3.25_20x20_DHBpos","♡EMBL♡","Jeany Delafiori","Theodore Alexandrov","Homo sapiens (human)","Prostate cancer cells","2-DG","in vivo","MALDI","DHB","Orbitrap","98995","positive","2022-09-16T21:31:49.789107","265","CoreMetabolome - v3","No optical image"
"2022-09-16_21h31m16s","22-01-25_HTprometex_D1-7_A32_ss25_RF100_CT250_V3_20x20_DHBpos","♡EMBL♡","Jeany Delafiori","Theodore Alexandrov","Homo sapiens (human)","Prostate cancer cells","2-DG","in vivo","MALDI","DHB","Orbitrap","98995","positive","2022-09-16T21:31:16.516574","216","CoreMetabolome - v3","No optical image"
"2022-09-16_21h30m44s","22-01-25_HTprometex_D1-5_A32_ss25_RF70_CT250_V3_20x20_DHBpos","♡EMBL♡","Jeany Delafiori","Theodore Alexandrov","Homo sapiens (human)","Prostate cancer cells","2-DG","in vivo","MALDI","DHB","Orbitrap","98995","positive","2022-09-16T21:30:44.388626","249","CoreMetabolome - v3","No optical image"
"2022-09-16_21h29m42s","22-01-25_HTprometex_D1-3_A30_ss25_RF50_CT250_V3_20x20_DHBpos","♡EMBL♡","Jeany Delafiori","Theodore Alexandrov","Homo sapiens (human)","Prostate cancer cells","2-DG","in vivo","MALDI","DHB","Orbitrap","98995","positive","2022-09-16T21:29:42.599220","144","CoreMetabolome - v3","No optical image"
"2022-09-16_21h30m14s","22-01-25_HTprometex_D1-4_A32_ss25_RF50_CT250_V3_20x20_DHBpos","♡EMBL♡","Jeany Delafiori","Theodore Alexandrov","Homo sapiens (human)","Prostate cancer cells","2-DG","in vivo","MALDI","DHB","Orbitrap","98995","positive","2022-09-16T21:30:14.487639","207","CoreMetabolome - v3","No optical image"
"2022-09-16_21h28m36s","22-01-25_HTprometex_D1-1_A26_ss25_RF50_CT250_V3_20x20_DHBpos","♡EMBL♡","Jeany Delafiori","Theodore Alexandrov","Homo sapiens (human)","Prostate cancer cells","2-DG","in vivo","MALDI","DHB","Orbitrap","98995","positive","2022-09-16T21:28:36.704879","75","CoreMetabolome - v3","No optical image"
"2022-09-16_21h19m45s","22-01-25_HTprometex_G1-1_A24_ss25_RF70_CT250_V3.25_20x20_NEDCneg","♡EMBL♡","Jeany Delafiori","Theodore Alexandrov","Homo sapiens (human)","Prostate cancer cells","Control","in vivo","MALDI","NEDC","Orbitrap","98995","negative","2022-09-16T21:19:45.228546","176","CoreMetabolome - v3","No optical image"
"2022-09-16_21h23m03s","22-01-25_HTprometex_G2-2_A26_ss25_RF70_CT350_V3.1_20x20_NEDCneg","♡EMBL♡","Jeany Delafiori","Theodore Alexandrov","Homo sapiens (human)","Prostate cancer cells","Control","in vivo","MALDI","NEDC","Orbitrap","98995","negative","2022-09-16T21:23:03.798335","88","CoreMetabolome - v3","No optical image"
"2022-09-16_21h22m39s","22-01-25_HTprometex_G2-1_A26_ss25_RF70_CT250_V3.1_20x20_NEDCneg","♡EMBL♡","Jeany Delafiori","Theodore Alexandrov","Homo sapiens (human)","Prostate cancer cells","Control","in vivo","MALDI","NEDC","Orbitrap","98995","negative","2022-09-16T21:22:39.623661","154","CoreMetabolome - v3","No optical image"
"2022-09-16_21h22m10s","22-01-25_HTprometex_G1-4_A30_ss25_RF70_CT250_V3.25_20x20_NEDCneg","♡EMBL♡","Jeany Delafiori","Theodore Alexandrov","Homo sapiens (human)","Prostate cancer cells","Control","in vivo","MALDI","NEDC","Orbitrap","98995","negative","2022-09-16T21:22:10.318769","134","CoreMetabolome - v3","No optical image"
"2022-09-16_21h21m43s","22-01-25_HTprometex_G1-3_A28_ss25_RF70_CT250_V3.25_20x20_NEDCneg","♡EMBL♡","Jeany Delafiori","Theodore Alexandrov","Homo sapiens (human)","Prostate cancer cells","Control","in vivo","MALDI","NEDC","Orbitrap","98995","negative","2022-09-16T21:21:43.933636","127","CoreMetabolome - v3","No optical image"
"2022-09-16_21h21m14s","22-01-25_HTprometex_G1-6_A26_ss25_RF100_CT250_V3.25_20x20_NEDCneg","♡EMBL♡","Jeany Delafiori","Theodore Alexandrov","Homo sapiens (human)","Prostate cancer cells","Control","in vivo","MALDI","NEDC","Orbitrap","98995","negative","2022-09-16T21:21:14.647810","64","CoreMetabolome - v3","No optical image"
"2022-09-16_21h20m16s","22-01-25_HTprometex_G1-5_A26_ss25_RF50_CT250_V3.25_20x20_NEDCneg","♡EMBL♡","Jeany Delafiori","Theodore Alexandrov","Homo sapiens (human)","Prostate cancer cells","Control","in vivo","MALDI","NEDC","Orbitrap","98995","negative","2022-09-16T21:20:16.324873","159","CoreMetabolome - v3","No optical image"
"2022-09-16_21h18m57s","22-01-25_HTprometex_F2-2_A26_ss25_RF70_CT350_V3.1_20x20_NEDCneg","♡EMBL♡","Jeany Delafiori","Theodore Alexandrov","Homo sapiens (human)","Prostate cancer cells","2-DG","in vivo","MALDI","NEDC","Orbitrap","98995","negative","2022-09-16T21:18:57.371195","77","CoreMetabolome - v3","No optical image"
"2022-09-16_21h20m45s","22-01-25_HTprometex_G1-2_A26_ss25_RF70_CT250_V3.25_20x20_NEDCneg","♡EMBL♡","Jeany Delafiori","Theodore Alexandrov","Homo sapiens (human)","Prostate cancer cells","Control","in vivo","MALDI","NEDC","Orbitrap","98995","negative","2022-09-16T21:20:45.571456","155","CoreMetabolome - v3","No optical image"
"2022-09-16_20h56m29s","22-01-25_HTprometex_F2-1_A26_ss25_RF70_CT250_V3.1_20x20_NEDCneg","♡EMBL♡","Jeany Delafiori","Theodore Alexandrov","Homo sapiens (human)","Prostate cancer cells","2-DG","in vivo","MALDI","NEDC","Orbitrap","98995","negative","2022-09-16T20:56:29.880708","108","CoreMetabolome - v3","No optical image"
"2022-09-16_20h35m58s","22-01-24_HTprometex_A1-2_A32_ss25_RF50_CT250_V3.25_25x25_DANneg","♡EMBL♡","Jeany Delafiori","Theodore Alexandrov","Homo sapiens (human)","Prostate cancer cells","Control","in vivo","MALDI","DAN","Orbitrap","98995","negative","2022-09-16T20:35:58.047856","33","HMDB - v4","No optical image"
